"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
1122,"B-II-m-B-19086","B","II","m","B",19086,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4545433002229,26.0929330209235,,"Str. Londra 19 sector 1",,,"Str. Londra",19,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1123,"B-II-m-B-19087","B","II","m","B",19087,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Imobil",44.455256,26.093464,,"Str. Londra 20 sector 1",,,"Str. Londra",20,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,"prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1124,"B-II-m-B-19088","B","II","m","B",19088,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4549653,26.0929785,,"Str. Londra 23 sector 1",,,"Str. Londra",23,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1125,"B-II-m-B-19089","B","II","m","B",19089,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4562233,26.0929461,,"Str. Londra 33 sector 1",,,"Str. Londra",33,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
1126,"B-II-m-B-19090","B","II","m","B",19090,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4567345,26.0931392,,"Str. Londra 34 sector 1",,,"Str. Londra",34,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1127,"B-II-m-B-19091","B","II","m","B",19091,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4565576,26.0928216,,"Str. Londra 35 sector 1",,,"Str. Londra",35,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1128,"B-II-m-B-19092","B","II","m","B",19092,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4568894546379,26.0931599424715,,"Str. Londra 36 sector 1",,,"Str. Londra",36,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".","de verificat, pe PMB apare si 36A"
1129,"B-II-m-B-19093","B","II","m","B",19093,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.456835,26.0928815,,"Str. Londra 37 sector 1",,,"Str. Londra",37,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","UN","CONSERVAT","VEGETAȚIE",
1130,"B-II-m-B-19094","B","II","m","B",19094,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Muzeul Național al Hărților și Cărții Vechi",44.4569953609901,26.0928449731337,,"Str. Londra 39 sector 1",,,"Str. Londra",39,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"prima jum. sec. XX","NU","DA","NU","REABILITAT","VEGETAȚIE",
1131,"B-II-m-B-19095","B","II","m","B",19095,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Elena",44.4575084,26.0930467,,"Str. Londra 42 sector 1",,,"Str. Londra",42,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1930,"NU","DA","NU","CONSERVAT","VEGETAȚIE",
1132,"B-II-m-B-19096","B","II","m","B",19096,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4574674523143,26.0927837175634,,"Str. Londra 43-45 sector 1",,,"Str. Londra","43-45","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE","pe PMB apare doua parcele separate, 43 si 45"
1133,"B-II-m-B-19097","B","II","m","B",19097,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4577616253835,26.0930504785736,,"Str. Londra 46 sector 1",,,"Str. Londra",46,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1134,"B-II-m-B-19098","B","II","m","B",19098,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4576667,26.0927809,,"Str. Londra 47 sector 1",,,"Str. Londra",47,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
1135,"B-II-m-B-19099","B","II","m","B",19099,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4579550369469,26.09302280421,,"Str. Londra 48 sector 1",,,"Str. Londra",48,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
1136,"B-II-m-B-19100","B","II","m","B",19100,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4579142,26.0927483,,"Str. Londra 49 sector 1",,,"Str. Londra",49,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1137,"B-II-m-B-19106","B","II","m","B",19106,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă prof. dr. Turnescu",44.4421004,26.1016296,,"Str. Lupu Dionisie 37 sector 1",,,"Str. Lupu Dionisie",37,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
1138,"B-II-m-A-19107","B","II","m","A",19107,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Librecht - Filipescu, azi Casa Universitarilor",44.4421282,26.1021573,,"Str. Lupu Dionisie 46 sector 1",,,"Str. Lupu Dionisie",46,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","miji. sec. XIX","DA","DA","NU","CONSERVAT",".",
1139,"B-II-m-B-19108","B","II","m","B",19108,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4433894900629,26.1012790829181,,"Str. Lupu Dionisie 49 sector 1",,,"Str. Lupu Dionisie",49,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
1140,"B-II-m-B-19109","B","II","m","B",19109,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Averescu",44.4437976,26.1012686,,"Str. Lupu Dionisie 68 sector 1",,,"Str. Lupu Dionisie",68,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","CONSERVAT",".",
1141,"B-II-m-B-20935","B","II","m","B",20935,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Corpurile A și B - partea dinspre str. Dionisie Lupu",44.4439499,26.1012939,,"Str. Lupu Dionisie 70-72 sector 1",,,"Str. Lupu Dionisie","70-72","Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".","de verificat"
1142,"B-II-m-B-19110","B","II","m","B",19110,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Imobil",44.4442853,26.1013194,,"Str. Lupu Dionisie 74 sector 1",,,"Str. Lupu Dionisie",74,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,1946,"DA","DA","NU","DEGRADAT",".",
1143,"B-II-m-B-19111","B","II","m","B",19111,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Gheorghe Å¢ițeica",44.4445703,26.1010218,,"Str. Lupu Dionisie 80 sector 1",,,"Str. Lupu Dionisie",80,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DETERIORAT",".",
1144,"B-II-m-B-19112","B","II","m","B",19112,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4419195,26.0925116,,"Str. Luterană 14 sector 1",,,"Str. Luterană",14,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
1145,"B-II-m-B-19114","B","II","m","B",19114,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Garajul Ciclop",44.4415601581294,26.099714711726,,"Bd. Magheru Gheorghe g-ral 8 sector 1",,,"Bd. Magheru Gheorghe g-ral",8,"Patrimoniu transporturi","Clădire pentru transport",,1923,,,,,,
1146,"B-II-m-B-19115","B","II","m","B",19115,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Hotel Ambasador",44.4419355514008,26.0995187610623,,"Bd. Magheru Gheorghe g-ral 10 sector 1",,,"Bd. Magheru Gheorghe g-ral",10,"Patrimoniu reprezentativ","Clădire pentru turism",,"1936 - 1937",,,,,,
1147,"B-II-m-A-19116","B","II","m","A",19116,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Blocul ARO - Patria",44.4424955013158,26.0992781133463,,"Bd. Magheru Gheorghe g-ral 12-14 sector 1",,,"Bd. Magheru Gheorghe g-ral","12-14","Patrimoniu domestic urban","Clădire cu funcțiuni mixte","Locuire civilă","1931 - 1933","DA","DA","NU","PUTERNIC DEGRADAT",".",
1148,"B-II-m-B-19117","B","II","m","B",19117,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Palatul Societății de Gaz și Electricitate",44.4453002717832,26.0972087965043,,"Bd. Magheru Gheorghe g-ral 33 sector 1",,,"Bd. Magheru Gheorghe g-ral",33,"Patrimoniu administrativ","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,1935,"DA","DA","NU","DEGRADAT",".",
1149,"B-II-m-B-19118","B","II","m","B",19118,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4571296,26.120953,,"Str. Maica Domnului 6 sector 2",,,"Str. Maica Domnului",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX",,,,,,
1150,"B-II-m-B-19119","B","II","m","B",19119,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4569377658922,26.1203473227007,,"Str. Maica Domnului 11 sector 2",,,"Str. Maica Domnului",11,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1151,"B-II-m-B-19120","B","II","m","B",19120,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4573555790122,26.120215057631,,"Str. Maica Domnului 15 sector 2",,,"Str. Maica Domnului",15,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
1152,"B-II-m-B-19121","B","II","m","B",19121,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4574935807659,26.1201829701069,,"Str. Maica Domnului 19 sector 2",,,"Str. Maica Domnului",19,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1153,"B-II-m-B-19122","B","II","m","B",19122,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.457651,26.1201335,,"Str. Maica Domnului 21-23 sector 2",,,"Str. Maica Domnului","21-23","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".","pe PMb apar doua parcele cu numere diferite: 21 si 23"
1154,"B-II-m-B-19123","B","II","m","B",19123,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4583034,26.1200004,,"Str. Maica Domnului 29 sector 2",,,"Str. Maica Domnului",29,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","RENOVAT PARȚIAL",".",
1155,"B-II-m-B-19124","B","II","m","B",19124,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4597812323846,26.1196057156571,,"Str. Maica Domnului 49 sector 2",,,"Str. Maica Domnului",49,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","RENOVAT",".","posibil sa coincida cu B-II-m-B-17936"
1156,"B-II-m-B-19125","B","II","m","B",19125,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4598585927541,26.1195162022739,,"Str. Maica Domnului 49B sector 2",,,"Str. Maica Domnului","49B","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".","pe PMB apare 49A"
1157,"B-II-m-B-19126","B","II","m","B",19126,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4594311536145,26.1196632264119,,"Str. Maica Domnului 49bis sector 2",,,"Str. Maica Domnului","49bis","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1158,"B-II-m-B-19127","B","II","m","B",19127,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4602240517073,26.1194024549711,,"Str. Maica Domnului 51 sector 2",,,"Str. Maica Domnului",51,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1159,"B-II-m-B-19128","B","II","m","B",19128,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4613090452726,26.118918924159,,"Str. Maica Domnului 63 sector 2",,,"Str. Maica Domnului",63,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".","pe PMB apare 61-63"
1160,"B-II-m-B-19129","B","II","m","B",19129,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179196,"Sector 6","Fost pavilion militar - A",44.4337292895891,26.0512124797373,,"Bd. Maniu Iuliu 9 sector 6",,,"Bd. Maniu Iuliu",9,"Patrimoniu reprezentativ","Clădire cu caracter militar",,"sf. sec. XIX - prima jum. sec. XX",,,,,,"de vazut care pavilion mai exact"
1161,"B-II-m-B-19130","B","II","m","B",19130,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Spiru Haret",44.4489012759473,26.0907532049091,,"Str. Mânu Gheorghe g-ral 7 sector 1",,,"Str. Mânu Gheorghe g-ral",7,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","DA","CONSERVAT / RENOVAT","Inserție în ""coaja"" monumentului existent",
1162,"B-II-m-A-19131","B","II","m","A",19131,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Niculescu - Dorobanțu",44.4487266767487,26.0903462095673,,"Str. Mânu Gheorghe g-ral 9 sector 1",,,"Str. Mânu Gheorghe g-ral",9,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
1163,"B-II-m-B-19132","B","II","m","B",19132,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Imobil locuințe",44.4488142636609,26.0898704407916,,"Str. Mânu Gheorghe g-ral 12 sector 1",,,"Str. Mânu Gheorghe g-ral",12,"Patrimoniu domestic urban","Clădire cu alte funcțiuni",,1936,"DA","DA","NU","DEGRADAT",".",
1164,"B-II-m-B-19133","B","II","m","B",19133,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Dr. Tomescu",44.4484478712395,26.0895335525143,,"Str. Mânu Gheorghe g-ral 17 sector 1",,,"Str. Mânu Gheorghe g-ral",17,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
1165,"B-II-m-B-19134","B","II","m","B",19134,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Theodor Rogalschi",44.4475792862046,26.0877002632816,,"Str. Mânu Gheorghe g-ral 31 sector 1",,,"Str. Mânu Gheorghe g-ral",31,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
1166,"B-II-m-B-19135","B","II","m","B",19135,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4258695285749,26.0984206130859,,"Bd. Maria 6-10 sector 4",,,"Bd. Maria","6-10","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT","RISC PRĂBUȘIRE","adresa gresita pe PMB"
1167,"B-II-m-B-19137","B","II","m","B",19137,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4255853039226,26.0979049195285,,"Bd. Maria 16 sector 4",,,"Bd. Maria",16,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".","adresa gresita pe PMB"
1168,"B-II-m-B-19138","B","II","m","B",19138,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4255040597842,26.0977820944353,,"Bd. Maria 18 sector 4",,,"Bd. Maria",18,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".","adresa gresita pe PMB"
1169,"B-II-m-B-19139","B","II","m","B",19139,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.424946945631,26.096689153769,,"Bd. Maria 32 sector 4",,,"Bd. Maria",32,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1170,"B-II-m-B-19140","B","II","m","B",19140,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4248419698579,26.0965167781034,,"Bd. Maria 34 sector 4",,,"Bd. Maria",34,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1171,"B-II-m-B-19141","B","II","m","B",19141,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4247314796115,26.0963201884332,,"Bd. Maria 36-38 sector 4",,,"Bd. Maria","36-38","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","RENOVAT",".","de verificat, pe PMB apar doua parcele diferite: 36 si 38"
1172,"B-II-m-B-19142","B","II","m","B",19142,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4246107675799,26.0960962308547,,"Bd. Maria 40 sector 4",,,"Bd. Maria",40,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1173,"B-II-m-B-19143","B","II","m","B",19143,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4243131138529,26.0955069013103,,"Bd. Maria 50 sector 4",,,"Bd. Maria",50,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1174,"B-II-m-B-19144","B","II","m","B",19144,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.424077389592,26.0949614920577,,"Bd. Maria 54 sector 4",,,"Bd. Maria",54,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX",,,,,,
1175,"B-II-m-B-19146","B","II","m","B",19146,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4237322537075,26.0944274192645,,"Bd. Maria 62 sector 4",,,"Bd. Maria",62,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX",,,,,,
1176,"B-II-m-B-19147","B","II","m","B",19147,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4236208085328,26.0941743509696,,"Bd. Maria 66 sector 4",,,"Bd. Maria",66,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".","de verificat, nu coincide exact cu adresele PMB"
1177,"B-II-m-B-19148","B","II","m","B",19148,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.423544697924,26.0939922028885,,"Bd. Maria 68-70 sector 4",,,"Bd. Maria","68-70","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".","de verificat, nu coincide exact cu adresele PMB"
1178,"B-II-m-B-19149","B","II","m","B",19149,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4230173075351,26.0930440940989,,"Bd. Maria 76 sector 4",,,"Bd. Maria",76,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","RENOVAT",".",
1179,"B-II-m-B-19150","B","II","m","B",19150,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4229144678559,26.0928309367093,,"Bd. Maria 80 sector 4",,,"Bd. Maria",80,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1180,"B-II-m-B-19151","B","II","m","B",19151,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă",44.4226485707704,26.0922449252609,,"Bd. Maria 86-88 sector 4",,,"Bd. Maria","86-88","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
1181,"B-II-m-B-19153","B","II","m","B",19153,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179187,"Sector 5","Casă Ion Minulescu",44.4182685643549,26.0799350353341,,"Str. Marinescu Gh. prof. dr. 19 sector 5",,,"Str. Marinescu Gh. prof. dr.",19,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","DA","RENOVAT","SUPRAETAJARE",
1182,"B-II-m-B-19154","B","II","m","B",19154,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.440996005204,26.1075801680012,,"Str. Masaryk Thomas 25 sector 2",,,"Str. Masaryk Thomas",25,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
1183,"B-II-m-B-19155","B","II","m","B",19155,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.440818470424,26.1072123878901,,"Str. Masaryk Thomas 26 sector 2",,,"Str. Masaryk Thomas",26,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1913,"DA","DA","NU","DEGRADAT",".",
1184,"B-II-m-B-19170","B","II","m","B",19170,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179169,"Sector 3","Casă",44.4334486025677,26.1039684570173,,"Str. Mavrogheni Nicolae 6 sector 3",,,"Str. Mavrogheni Nicolae",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","CONSERVAT",".",
1185,"B-II-m-B-19156","B","II","m","B",19156,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă Prof. dr. Gh. Marinescu",44.4410651,26.1079433,,"Str. Masaryk Thomas 27 sector 2",,,"Str. Masaryk Thomas",27,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
1186,"B-II-m-B-19157","B","II","m","B",19157,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179150,"Sector 2","Casă",44.4407895513864,26.1074366074734,,"Str. Masaryk Thomas 28 sector 2",,,"Str. Masaryk Thomas",28,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
