"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
27,"B-II-m-B-17959","B","II","m","B",17959,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.455785377777,26.0874501060898,,"Aleea Alexandru 5 sector 1",,,"Aleea Alexandru",5,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
28,"B-II-m-B-17960","B","II","m","B",17960,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.455454392171,26.0872082317621,,"Aleea Alexandru 6 sector 1",,,"Aleea Alexandru",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","DETERIORAT",".",
29,"B-II-m-B-17961","B","II","m","B",17961,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4557459,26.0877358,,"Aleea Alexandru 7 sector 1",,,"Aleea Alexandru",7,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
30,"B-II-m-B-17962","B","II","m","B",17962,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4554337097559,26.0875318043028,,"Aleea Alexandru 8 sector 1",,,"Aleea Alexandru",8,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
31,"B-II-m-B-17963","B","II","m","B",17963,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4556066116091,26.0884085137222,,"Aleea Alexandru 14 sector 1",,,"Aleea Alexandru",14,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","REABILITAT","VEGETAȚIE",
32,"B-II-m-B-17964","B","II","m","B",17964,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4565018,26.0892023,,"Aleea Alexandru 19 sector 1",,,"Aleea Alexandru",19,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ",
33,"B-II-m-B-17965","B","II","m","B",17965,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4563724520597,26.089622257989,,"Aleea Alexandru 22 sector 1",,,"Aleea Alexandru",22,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
34,"B-II-m-B-17966","B","II","m","B",17966,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4570849,26.0895671,,"Aleea Alexandru 23 sector 1",,,"Aleea Alexandru",23,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ",
35,"B-II-m-B-17967","B","II","m","B",17967,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4582235547377,26.0890293978686,,"Aleea Alexandru 33 sector 1",,,"Aleea Alexandru",33,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
36,"B-II-m-B-17968","B","II","m","B",17968,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4583708806955,26.0894922369339,,"Aleea Alexandru 34 sector 1",,,"Aleea Alexandru",34,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","NU","DA",".","CONSTRUCȚIE NOUĂ","de verificat exact care e numarul 34. Pe site-ul PMB nu apare numarul postal. Pe google pare sa fie o cladire noua la adresa"
37,"B-II-m-B-17969","B","II","m","B",17969,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4584108295804,26.0887619120978,,"Aleea Alexandru 35 sector 1",,,"Aleea Alexandru",35,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
38,"B-II-m-B-17970","B","II","m","B",17970,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4584938328789,26.0885555786094,,"Aleea Alexandru 37 sector 1",,,"Aleea Alexandru",37,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","VEGETAȚIE",
39,"B-II-m-B-17971","B","II","m","B",17971,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4591177,26.0880944,,"Aleea Alexandru 38 sector 1",,,"Aleea Alexandru",38,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
40,"B-II-m-B-17972","B","II","m","B",17972,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.459059,26.0876723,,"Aleea Alexandru 40 sector 1",,,"Aleea Alexandru",40,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
41,"B-II-m-B-17973","B","II","m","B",17973,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4586814836035,26.0879224718698,,"Aleea Alexandru 41 sector 1",,,"Aleea Alexandru",41,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ",
42,"B-II-m-B-17974","B","II","m","B",17974,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4587018290287,26.0876822299703,,"Aleea Alexandru 43 sector 1",,,"Aleea Alexandru",43,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ",
43,"B-II-m-B-17975","B","II","m","B",17975,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4590305880532,26.087126176928,,"Aleea Alexandru 44 sector 1",,,"Aleea Alexandru",44,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
44,"B-II-m-B-17976","B","II","m","B",17976,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4587181847542,26.0874509313307,,"Aleea Alexandru 45 sector 1",,,"Aleea Alexandru",45,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ","de verificat daca mai sunt doua adrese. Pe site-ul PMB apare doar parcela cu numarul 45 cu doua case"
45,"B-II-m-B-17977","B","II","m","B",17977,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.458716358742,26.0871222173127,,"Aleea Alexandru 47 sector 1",,,"Aleea Alexandru",47,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","NU","DA","NU","CONSERVAT","AMBASADĂ",
46,"B-II-m-B-17978","B","II","m","B",17978,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4446663164304,26.0834566080764,,"Intr. Alexe Marin 2 sector 1",,,"Intr. Alexe Marin",2,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
47,"B-II-m-B-17979","B","II","m","B",17979,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4448846366188,26.0835165533561,,"Intr. Alexe Marin 5 sector 1",,,"Intr. Alexe Marin",5,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
48,"B-II-m-B-17980","B","II","m","B",17980,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4447777804984,26.0835892994811,,"Intr. Alexe Marin 6 sector 1",,,"Intr. Alexe Marin",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
49,"B-II-m-B-17981","B","II","m","B",17981,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4448436281828,26.083635799213,,"Intr. Alexe Marin 8 sector 1",,,"Intr. Alexe Marin",8,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","REABILITAT",".",
50,"B-II-m-B-17982","B","II","m","B",17982,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4423694822198,26.0894886805149,,"Str. Aman Theodor pictor 1 sector 1",,,"Str. Aman Theodor pictor",1,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
51,"B-II-m-B-17983","B","II","m","B",17983,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4424747551081,26.0900846266652,,"Str. Aman Theodor pictor 2 sector 1",,,"Str. Aman Theodor pictor",2,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
52,"B-II-m-B-17984","B","II","m","B",17984,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4426647430234,26.0891534883664,,"Str. Aman Theodor pictor 3-5 sector 1",,,"Str. Aman Theodor pictor","3-5","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
53,"B-II-m-B-17985","B","II","m","B",17985,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.442597,26.0900208,,"Str. Aman Theodor pictor 4 sector 1",,,"Str. Aman Theodor pictor",4,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
54,"B-II-m-B-17986","B","II","m","B",17986,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4426715479687,26.0897728268912,,"Str. Aman Theodor pictor 6 sector 1",,,"Str. Aman Theodor pictor",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT","VEGETAȚIE ABUNDENTĂ",
55,"B-II-m-B-17987","B","II","m","B",17987,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4426848318916,26.089631791756,,"Str. Aman Theodor pictor 8 sector 1",,,"Str. Aman Theodor pictor",8,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
56,"B-II-m-B-17988","B","II","m","B",17988,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4425921765318,26.0892912572117,,"Str. Aman Theodor pictor 9A sector 1",,,"Str. Aman Theodor pictor","9A","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","NU","NU","NU",".",".",
57,"B-II-m-B-17989","B","II","m","B",17989,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4427764885745,26.0895111549102,,"Str. Aman Theodor pictor 10 sector 1",,,"Str. Aman Theodor pictor",10,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
58,"B-II-m-B-17990","B","II","m","B",17990,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.443091743835,26.0889800266734,,"Str. Aman Theodor pictor 16 sector 1",,,"Str. Aman Theodor pictor",16,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","REABILITAT",".",
59,"B-II-m-B-17991","B","II","m","B",17991,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4431248691401,26.0888820195164,,"Str. Aman Theodor pictor 18 sector 1",,,"Str. Aman Theodor pictor",18,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
60,"B-II-m-B-17992","B","II","m","B",17992,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4434959989809,26.0876855873463,,"Str. Aman Theodor pictor 23-25 sector 1",,,"Str. Aman Theodor pictor","23-25","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","PUTERNIC DEGRADAT",".","de verificat - par a fi doua case, pe o alee din strada principala"
61,"B-II-m-B-17993","B","II","m","B",17993,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Theodor Aman",44.44387,26.0878127,,"Str. Aman Theodor pictor 27 sector 1",,,"Str. Aman Theodor pictor",27,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
62,"B-II-m-B-17994","B","II","m","B",17994,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4435345145757,26.0883562116492,,"Str. Aman Theodor pictor 30 sector 1",,,"Str. Aman Theodor pictor",30,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".",
