cod_lmi;SIRSUP;rang;UAT;SIRUTA;localitate;SIRINF;sector;adresa;strada_nume;strada_numar;cod_lmi_jud;cod_lmi_nat;cod_lmi_grupa;cod_lmi_val;cod_lmi_num;tip_patrimoniu;program;tip_monument;denumire;observatii_adresa;fotografiat;Inexistent;constructie_noua;stare;observatii;observatii_corina;datare;x;y
B-II-m-B-18199;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 20 sector 3;Bd. Botev Hristo;20;B;II;m;B;18199;;;;Imobil;;DA;NU;NU;DEGRADAT;.;coincide cu Calea Moșilor 94, parcela pe colt;sf. sec. XIX;26.1077081052344;44.4339249524066
B-II-m-B-18200;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 21 sector 3;Bd. Botev Hristo;21;B;II;m;B;18200;;;;Imobil;;DA;NU;NU;PUTERNIC DEGRADAT;.;;sf. sec. XIX;26.1090244723769;44.4329016799544
B-II-m-B-18201;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 22 sector 3;Bd. Botev Hristo;22;B;II;m;B;18201;;;;Imobil;;DA;NU;NU;DEGRADAT;.;;prima jum. sec. XX;26.107986555122;44.4337722004223
B-II-m-B-18202;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 24 sector 3;Bd. Botev Hristo;24;B;II;m;B;18202;;;;Imobil;;DA;NU;NU;DEGRADAT;.;;prima jum. sec. XX;26.1080448914631;44.4337033535739
B-II-m-B-18203;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 25 sector 3;Bd. Botev Hristo;25;B;II;m;B;18203;;;;Casă;;DA;NU;NU;REABILITAT;.;;sf. sec. XIX;26.1091567470394;44.4322098160659
B-II-m-B-18204;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 26 sector 3;Bd. Botev Hristo;26;B;II;m;B;18204;;;;Imobil;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.1081381460661;44.4336305055444
B-II-m-B-18205;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 27 sector 3;Bd. Botev Hristo;27;B;II;m;B;18205;;;;Imobil;;DA;NU;NU;CONSERVAT;.;;prima jum. sec. XX;26.1092552128905;44.4320583383855
B-II-m-B-18206;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 28 sector 3;Bd. Botev Hristo;28;B;II;m;B;18206;;;;Casă;;DA;NU;NU;CONSERVAT;.;;sf. sec. XIX;26.1082946;44.4334215
B-II-m-B-18207;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 29 sector 3;Bd. Botev Hristo;29;B;II;m;B;18207;;;;Casă;;DA;NU;NU;DEGRADAT;.;Posibil sa coincida cu B-II-m-B-18487;sf. sec. XIX;26.1093051929456;44.4318541634567
B-II-m-B-18208;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 30 sector 3;Bd. Botev Hristo;30;B;II;m;B;18208;;;;Imobil;;DA;NU;NU;CONSERVAT;.;;înc. sec. XX;26.1083936358416;44.4333373209113
B-II-m-B-18209;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 34 sector 3;Bd. Botev Hristo;34;B;II;m;B;18209;;;;"Blocul ""Gold""";;DA;NU;NU;REABILITAT;.;;înc. sec. XX;26.1086678001568;44.4328910252116
B-II-m-B-18210;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 36 sector 3;Bd. Botev Hristo;36;B;II;m;B;18210;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sec. XIX;26.1087424472057;44.432668698036
B-II-m-B-18211;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 38 sector 3;Bd. Botev Hristo;38;B;II;m;B;18211;;;;Casă;;DA;NU;NU;REABILITAT;.;;sf. sec. XIX;26.1088212256317;44.432411574433
B-II-m-B-18212;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 40 sector 3;Bd. Botev Hristo;40;B;II;m;B;18212;;;;Imobil;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.1088384492211;44.4322530439543
B-II-m-B-18213;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Botev Hristo 44 sector 3;Bd. Botev Hristo;44;B;II;m;B;18213;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX;26.1090752477251;44.4316669748614
B-II-m-B-18214;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179150;Sector 2;Str. Botez Corneliu 3 sector 2;Str. Botez Corneliu;3;B;II;m;B;18214;;;;Casă;;DA;NU;NU;RENOVAT;.;;1935;26.1072185274683;44.4442732362616
B-II-m-B-18215;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179150;Sector 2;Str. Brădești 3 sector 2;Str. Brădești;3;B;II;m;B;18215;;;;Casă;;DA;NU;NU;CONSERVAT;.;;înc. sec. XX;26.1216433762329;44.4540968250344
B-II-m-B-18216;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179150;Sector 2;Str. Brădești 18 sector 2;Str. Brădești;18;B;II;m;B;18216;;;;Casă;;;;;;;;înc. sec. XX;26.1206235411805;44.4546516051314
B-II-m-B-18217;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179150;Sector 2;Str. Brădești 21 sector 2;Str. Brădești;21;B;II;m;B;18217;;;;Casă;;;;;;;;înc. sec. XX;26.1200386546338;44.4545476633702
B-II-m-B-18219;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Str. Brăilița 28 sector 3;Str. Brăilița;28;B;II;m;B;18219;;;;"Fosta Secție Amidon ""Fulgerul"" Bragadiru";;;;;;;;sf. sec. XIX - prima jum. sec. XX;26.1300923779097;44.4196559443821
B-II-m-B-18561;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 7 sector 1;Str. Brătianu Gheorghe;7;B;II;m;B;18561;;;;Imobil;;DA;NU;NU;REABILITAT;.;;prima jum. sec. XX;26.0824739;44.4617315
B-II-m-B-18562;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 26 sector 1;Str. Brătianu Gheorghe;26;B;II;m;B;18562;;;;Casă;;;;;;;;prima jum. sec. XX;26.082996;44.461099
B-II-m-B-18563;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 28 sector 1;Str. Brătianu Gheorghe;28;B;II;m;B;18563;;;;Casă;;;;;;;;prima jum. sec. XX;26.082996;44.4611019
B-II-m-B-18564;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 38 sector 1;Str. Brătianu Gheorghe;38;B;II;m;B;18564;;;;Casă;;DA;NU;NU;REABILITAT;.;;prima jum. sec. XX;26.082546;44.462037
B-II-m-B-18565;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 40-42 sector 1;Str. Brătianu Gheorghe;40-42;B;II;m;B;18565;;;;Casă;;DA;NU;NU;REABILITAT;.;pe site PMB apare doar numarul 42;prima jum. sec. XX;26.0824934;44.4622384
B-II-m-B-18566;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 44 sector 1;Str. Brătianu Gheorghe;44;B;II;m;B;18566;;;;Vila Mihaela;;DA;NU;NU;CONSERVAT;.;;1927;26.082425447684;44.4624475584935
B-II-m-B-18567;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 46 sector 1;Str. Brătianu Gheorghe;46;B;II;m;B;18567;;;;Casă;;DA;NU;NU;ÎN RENOVARE;ȘANTIER;;prima jum. sec. XX;26.0822482;44.4627005
B-II-m-B-18568;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brătianu Gheorghe 48 sector 1;Str. Brătianu Gheorghe;48;B;II;m;B;18568;;;;Casă;;DA;NU;NU;DEGRADAT;.;;prima jum. sec. XX;26.0821572;44.462921
B-II-m-A-18220.01;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 1 sector 3;Bd. Brătianu I. C.;1;B;II;m;A;18220.01;;;;"Biserica ""Trei Ierarhi"" - Colțea";;DA;NU;NU;REABILITAT;.;;1702;26.1046332;44.4279615
B-II-m-A-18220.02;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 1 sector 3;Bd. Brătianu I. C.;1;B;II;m;A;18220.02;;;;Spitalul Colțea;;DA;NU;DA;NU;.;;1887;26.1039653405289;44.4344038261815
